"Instructor Name",Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree
"ZACHARY,JOSEPH L",6443,2632,568,126,118,123
"JENSEN,PETER A",3737,1372,314,142,39,79
"JOHNSON,DAVID E",3779,2278,467,82,94,111
"RAKAMARIC,ZVONIMIR",1293,702,175,73,18,82
"BARGTEIL,ADAM WADE",367,152,51,14,4,12
"HENDERSON,THOMAS C",444,235,83,40,27,18
"PHILLIPS,JEFFREY",1255,562,131,31,16,56
"DE ST GERMAIN,H JAMES",2877,2100,604,179,119,154
"MYERS,CHRIS J",60,75,8,11,6,6
"STEVENS,KENNETH S.",36,39,7,9,2,7
"GOPALAKRISHNAN,GANESH",559,561,332,163,137,194
"HANSEN,CHARLES D",541,384,189,84,41,58
"ROSEN,PAUL ANDREW",347,234,65,14,3,0
"BRUNVAND,ERIK L",318,156,35,6,0,2
"KIRBY II,ROBERT MICHAEL",240,304,144,76,60,59
"STOKER,MATTHEW LUND",735,287,81,15,11,9
"KASERA,SNEHA K",502,227,24,8,7,7
"MEYER,MIRIAH DAWN",1616,995,325,108,72,115
"REGEHR,JOHN",691,293,70,12,3,6
"VENKATASUBRAMANIAN,SURESH",1041,437,156,44,29,27
"COHEN,ELAINE",347,344,205,123,106,203
"JOHNSON,CHRISTOPHER R",99,74,27,6,11,8
"HOLLERBACH,JOHN M",290,217,66,20,25,23
"VAN DER MERWE,JACOBUS ERASMUS",1238,510,135,57,16,21
"YUKSEL,CEM",468,257,139,60,39,25
"GERIG,GUIDO",276,120,20,5,5,9
"SRIKUMAR,VIVEK",1593,585,89,33,19,59
"DENNING,TAMARA",253,178,76,40,36,25
"SUNDAR,HARI",423,255,95,48,57,22
"BERZINS,MARTIN",253,179,65,35,25,25
"WHITAKER,ROSS T",244,71,3,0,0,13
"PASCUCCI,VALERIO",158,97,24,12,3,6
"DE ST GERMAIN,JOHN DAVISON",1101,810,236,87,44,24
"HROMATKA,MICHELLE TERESE",70,19,10,8,1,6
"MESADI,FITSUM BABU",25,52,18,6,0,6
"PATWARI,NEAL",105,9,0,0,0,6
"STOUT,PAUL L",39,43,10,5,2,0
"THOMPSON,WILLIAM B",94,72,13,3,0,0
"LI,FEIFEI",1196,509,155,67,48,69
"BALASUBRAMONIAN,RAJEEV",1252,343,64,11,3,18
"KOPTA,DANIEL M",1952,790,152,28,5,21
"SHKURKO,KONSTANTIN IGOR",18,2,2,1,1,0
"RICCI,ROBERT PRESTON RIEKENBERG",18,11,1,0,0,0
"PARKER,DAISY",3068,1461,470,144,162,268
"MIGHT,MATTHEW BRENDON",182,35,8,1,0,0
"CHRISTENSEN,ROBERT BRIAN",61,102,58,32,27,25
"BOMMU,VENKATA KRISHNA CHAITANYA REDDY",13,11,0,0,0,0
"FISHER,ANDREW NATHAN",13,10,1,0,0,0
"KURAHATTI,VENKATESH ADIVEPPA",13,11,0,0,0,0
"KALLA,PRIYANK",0,24,1,0,0,0
"HALL,MARY W",302,239,158,103,116,172
"RILOFF,ELLEN M",762,343,77,30,8,3
"LEX,ALEXANDER",758,343,99,47,6,30
"FLATT,MATT",2207,474,70,9,3,40
"PHILLIPS,BEI WANG",634,590,267,90,93,44
"TASDIZEN,TOLGA",147,134,46,14,24,18
"STUTSMAN,RYAN",758,141,16,1,0,14
"FLETCHER,PRESTON THOMAS",745,454,103,42,16,55
"COTTER,NEIL E",181,97,17,10,2,6
"HOGGATT,DENVER",3,1,2,0,0,0
"TURAGA,SRIRAJ DHEERAJ",3,2,1,0,0,0
"GAILLARDON,PIERRE-EMMANUEL JULIEN MARC",46,16,1,0,0,0
"HERMANS,TUCKER",318,184,51,21,4,16
"KAVAN,LADISLAV",241,109,22,3,1,0
"BHASKARA,ADITYA",455,289,112,41,28,43
"BEAN,DAVID L",287,116,54,22,34,26
"RAMALINGAM,SRIKUMAR",121,70,38,18,16,45
"WIESE,JASON",112,114,40,21,18,34
"NAZM BOJNORDI,MAHDI",87,44,43,11,2,16
"HEYBORNE,DAVID WILLIAM",72,30,12,7,4,0
"JONES,BENJAMIN JAMES",78,52,13,1,2,0
"OSTING,BRAXTON RYAN",77,65,12,0,0,0
